position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1,-0.3,1,1,0,0,0
1,-0.299,1,1,0,0,0
1,-0.298,1,1,0,0,0
1,-0.297,1,1,0,0,0
1,-0.296,1,1,0,0,0
1,-0.295,1,1,0,0,0
1,-0.294,1,1,0,0,0
1,-0.293,1,1,0,0,0
1,-0.292,1,1,0,0,0
1,-0.291,1,1,0,0,0
1,-0.29,1,1,0,0,0
1,-0.289,1,1,0,0,0
1,-0.288,1,1,0,0,0
1,-0.287,1,1,0,0,0
1,-0.286,1,1,0,0,0
1,-0.285,1,1,0,0,0
1,-0.284,1,1,0,0,0
1,-0.283,1,1,0,0,0
1,-0.282,1,1,0,0,0
1,-0.281,1,1,0,0,0
1,-0.28,1,1,0,0,0
1,-0.279,1,1,0,0,0
1,-0.278,1,1,0,0,0
1,-0.277,1,1,0,0,0
1,-0.276,1,1,0,0,0
1,-0.275,1,1,0,0,0
1,-0.274,1,1,0,0,0
1,-0.273,1,1,0,0,0
1,-0.272,1,1,0,0,0
1,-0.271,1,1,0,0,0
1,-0.27,1,1,0,0,0
1,-0.269,1,1,0,0,0
1,-0.268,1,1,0,0,0
1,-0.267,1,1,0,0,0
1,-0.266,1,1,0,0,0
1,-0.265,1,1,0,0,0
1,-0.264,1,1,0,0,0
1,-0.263,1,1,0,0,0
1,-0.262,1,1,0,0,0
1,-0.261,1,1,0,0,0
1,-0.26,1,1,0,0,0
1,-0.259,1,1,0,0,0
1,-0.258,1,1,0,0,0
1,-0.257,1,1,0,0,0
1,-0.256,1,1,0,0,0
1,-0.255,1,1,0,0,0
1,-0.254,1,1,0,0,0
1,-0.253,1,1,0,0,0
1,-0.252,1,1,0,0,0
1,-0.251,1,1,0,0,0
1,-0.25,1,1,0,0,0
1,-0.249,1,1,0,0,0
1,-0.248,1,1,0,0,0
1,-0.247,1,1,0,0,0
1,-0.246,1,1,0,0,0
1,-0.245,1,1,0,0,0
1,-0.244,1,1,0,0,0
1,-0.243,1,1,0,0,0
1,-0.242,1,1,0,0,0
1,-0.241,1,1,0,0,0
1,-0.24,1,1,0,0,0
1,-0.239,1,1,0,0,0
1,-0.238,1,1,0,0,0
1,-0.237,1,1,0,0,0
1,-0.236,1,1,0,0,0
1,-0.235,1,1,0,0,0
1,-0.234,1,1,0,0,0
1,-0.233,1,1,0,0,0
1,-0.232,1,1,0,0,0
1,-0.231,1,1,0,0,0
1,-0.23,1,1,0,0,0
1,-0.229,1,1,0,0,0
1,-0.228,1,1,0,0,0
1,-0.227,1,1,0,0,0
1,-0.226,1,1,0,0,0
1,-0.225,1,1,0,0,0
1,-0.224,1,1,0,0,0
1,-0.223,1,1,0,0,0
1,-0.222,1,1,0,0,0
1,-0.221,1,1,0,0,0
1,-0.22,1,1,0,0,0
1,-0.219,1,1,0,0,0
1,-0.218,1,1,0,0,0
1,-0.217,1,1,0,0,0
1,-0.216,1,1,0,0,0
1,-0.215,1,1,0,0,0
1,-0.214,1,1,0,0,0
1,-0.213,1,1,0,0,0
1,-0.212,1,1,0,0,0
1,-0.211,1,1,0,0,0
1,-0.21,1,1,0,0,0
1,-0.209,1,1,0,0,0
1,-0.208,1,1,0,0,0
1,-0.207,1,1,0,0,0
1,-0.206,1,1,0,0,0
1,-0.205,1,1,0,0,0
1,-0.204,1,1,0,0,0
1,-0.203,1,1,0,0,0
1,-0.202,1,1,0,0,0
1,-0.201,1,1,0,0,0
1,-0.2,1,1,0,0,0
1,-0.199,1,1,0,0,0
1,-0.198,1,1,0,0,0
1,-0.197,1,1,0,0,0
1,-0.196,1,1,0,0,0
1,-0.195,1,1,0,0,0
1,-0.194,1,1,0,0,0
1,-0.193,1,1,0,0,0
1,-0.192,1,1,0,0,0
1,-0.191,1,1,0,0,0
1,-0.19,1,1,0,0,0
1,-0.189,1,1,0,0,0
1,-0.188,1,1,0,0,0
1,-0.187,1,1,0,0,0
1,-0.186,1,1,0,0,0
1,-0.185,1,1,0,0,0
1,-0.184,1,1,0,0,0
1,-0.183,1,1,0,0,0
1,-0.182,1,1,0,0,0
1,-0.181,1,1,0,0,0
1,-0.18,1,1,0,0,0
1,-0.179,1,1,0,0,0
1,-0.178,1,1,0,0,0
1,-0.177,1,1,0,0,0
1,-0.176,1,1,0,0,0
1,-0.175,1,1,0,0,0
1,-0.174,1,1,0,0,0
1,-0.173,1,1,0,0,0
1,-0.172,1,1,0,0,0
1,-0.171,1,1,0,0,0
1,-0.17,1,1,0,0,0
1,-0.169,1,1,0,0,0
1,-0.168,1,1,0,0,0
1,-0.167,1,1,0,0,0
1,-0.166,1,1,0,0,0
1,-0.165,1,1,0,0,0
1,-0.164,1,1,0,0,0
1,-0.163,1,1,0,0,0
1,-0.162,1,1,0,0,0
1,-0.161,1,1,0,0,0
1,-0.16,1,1,0,0,0
1,-0.159,1,1,0,0,0
1,-0.158,1,1,0,0,0
1,-0.157,1,1,0,0,0
1,-0.156,1,1,0,0,0
1,-0.155,1,1,0,0,0
1,-0.154,1,1,0,0,0
1,-0.153,1,1,0,0,0
1,-0.152,1,1,0,0,0
1,-0.151,1,1,0,0,0
1,-0.15,1,1,0,0,0
1,-0.149,1,1,0,0,0
1,-0.148,1,1,0,0,0
1,-0.147,1,1,0,0,0
1,-0.146,1,1,0,0,0
1,-0.145,1,1,0,0,0
1,-0.144,1,1,0,0,0
1,-0.143,1,1,0,0,0
1,-0.142,1,1,0,0,0
1,-0.141,1,1,0,0,0
1,-0.14,1,1,0,0,0
1,-0.139,1,1,0,0,0
1,-0.138,1,1,0,0,0
1,-0.137,1,1,0,0,0
1,-0.136,1,1,0,0,0
1,-0.135,1,1,0,0,0
1,-0.134,1,1,0,0,0
1,-0.133,1,1,0,0,0
1,-0.132,1,1,0,0,0
1,-0.131,1,1,0,0,0
1,-0.13,1,1,0,0,0
1,-0.129,1,1,0,0,0
1,-0.128,1,1,0,0,0
1,-0.127,1,1,0,0,0
1,-0.126,1,1,0,0,0
1,-0.125,1,1,0,0,0
1,-0.124,1,1,0,0,0
1,-0.123,1,1,0,0,0
1,-0.122,1,1,0,0,0
1,-0.121,1,1,0,0,0
